,State,Offense_Year,Offense_Type,Offense_Count
697,AK,2014,g_t,0
698,AK,2014,ht_c_s_a,0
699,AK,2014,ht_i_s,0
700,AK,2014,larceny,2824
701,AK,2014,liquor,1171
702,AK,2014,manslaughter,5
703,AK,2014,mvt,204
704,AK,2014,murder,19
705,AK,2014,offense_family,187
706,AK,2014,prostitution,36
707,AK,2014,prostitution_a_p_p,0
708,AK,2014,prostitution_p,0
709,AK,2014,prostitution_p_p,0
710,AK,2014,rape,87
711,AK,2014,robbery,208
712,AK,2014,sex_offense,250
713,AK,2014,simple_assault,3134
714,AK,2014,stolen_property,24
715,AK,2014,suspicion,17
716,AK,2014,vagrancy,0
717,AK,2014,vandalism,732
718,AK,2014,weapons,218
719,AK,2014,data_year,2014
720,AK,2015,aggravated_assault,1734
721,AK,2015,all_other_offenses,13025
722,AK,2015,arson,67
723,AK,2015,burglary,485
724,AK,2015,curfew,5
725,AK,2015,disorderly,795
726,AK,2015,driving,3163
727,AK,2015,drug_abuse_gt,1212
728,AK,2015,drug_poss_m,308
729,AK,2015,drug_poss_opium,310
730,AK,2015,drug_poss_other,224
731,AK,2015,drug_poss_subtotal,959
732,AK,2015,drug_poss_synthetic,117
733,AK,2015,drug_sales_m,36
734,AK,2015,drug_sales_opium,118
735,AK,2015,drug_sales_other,42
736,AK,2015,drug_sales_subtotal,253
737,AK,2015,drug_sales_synthetic,57
738,AK,2015,drunkness,80
739,AK,2015,embezzlement,72
740,AK,2015,forgery,39
741,AK,2015,fraud,230
742,AK,2015,g_all,0
743,AK,2015,g_b,0
744,AK,2015,g_n,0
745,AK,2015,g_t,0
746,AK,2015,ht_c_s_a,0
747,AK,2015,ht_i_s,0
748,AK,2015,larceny,2540
749,AK,2015,liquor,1100
750,AK,2015,manslaughter,1
751,AK,2015,mvt,361
752,AK,2015,murder,47
753,AK,2015,offense_family,181
754,AK,2015,prostitution,8
755,AK,2015,prostitution_a_p_p,0
756,AK,2015,prostitution_p,0
757,AK,2015,prostitution_p_p,0
758,AK,2015,rape,118
759,AK,2015,robbery,294
760,AK,2015,sex_offense,240
761,AK,2015,simple_assault,4350
762,AK,2015,stolen_property,52
763,AK,2015,suspicion,0
764,AK,2015,vagrancy,3
765,AK,2015,vandalism,898
766,AK,2015,weapons,303
767,AK,2015,data_year,2015
768,AK,2016,aggravated_assault,1845
769,AK,2016,all_other_offenses,11340
770,AK,2016,arson,51
771,AK,2016,burglary,538
772,AK,2016,curfew,12
773,AK,2016,disorderly,738
774,AK,2016,driving,3063
775,AK,2016,drug_abuse_gt,1006
776,AK,2016,drug_poss_m,251
777,AK,2016,drug_poss_opium,196
778,AK,2016,drug_poss_other,220
779,AK,2016,drug_poss_subtotal,797
780,AK,2016,drug_poss_synthetic,130
781,AK,2016,drug_sales_m,23
782,AK,2016,drug_sales_opium,109
783,AK,2016,drug_sales_other,22
784,AK,2016,drug_sales_subtotal,209
785,AK,2016,drug_sales_synthetic,55
786,AK,2016,drunkness,112
787,AK,2016,embezzlement,81
788,AK,2016,forgery,96
789,AK,2016,fraud,236
790,AK,2016,g_all,0
791,AK,2016,g_b,0
792,AK,2016,g_n,0
793,AK,2016,g_t,0
794,AK,2016,ht_c_s_a,0
795,AK,2016,ht_i_s,0
796,AK,2016,larceny,2401
797,AK,2016,liquor,775
798,AK,2016,manslaughter,5
799,AK,2016,mvt,505
800,AK,2016,murder,41
801,AK,2016,offense_family,195
802,AK,2016,prostitution,13
803,AK,2016,prostitution_a_p_p,0
804,AK,2016,prostitution_p,0
805,AK,2016,prostitution_p_p,0
806,AK,2016,rape,130
807,AK,2016,robbery,282
808,AK,2016,sex_offense,281
809,AK,2016,simple_assault,4300
810,AK,2016,stolen_property,82
811,AK,2016,suspicion,0
812,AK,2016,vagrancy,4
813,AK,2016,vandalism,1024
814,AK,2016,weapons,311
815,AK,2016,data_year,2016
816,AK,2017,aggravated_assault,1913
817,AK,2017,all_other_offenses,10737
818,AK,2017,arson,22
819,AK,2017,burglary,623
820,AK,2017,curfew,0
821,AK,2017,disorderly,757
822,AK,2017,driving,3102
823,AK,2017,drug_abuse_gt,1004
824,AK,2017,drug_poss_m,247
825,AK,2017,drug_poss_opium,237
826,AK,2017,drug_poss_other,222
827,AK,2017,drug_poss_subtotal,824
828,AK,2017,drug_poss_synthetic,118
829,AK,2017,drug_sales_m,46
830,AK,2017,drug_sales_opium,75
831,AK,2017,drug_sales_other,29
832,AK,2017,drug_sales_subtotal,180
833,AK,2017,drug_sales_synthetic,30
834,AK,2017,drunkness,43
835,AK,2017,embezzlement,77
836,AK,2017,forgery,113
837,AK,2017,fraud,219
838,AK,2017,g_all,0
839,AK,2017,g_b,0
840,AK,2017,g_n,0
841,AK,2017,g_t,0
842,AK,2017,ht_c_s_a,0
843,AK,2017,ht_i_s,0
